Groningen;Een keer per week of vaker;13;2010
Groningen;Twee tot drie keer per maand;3;2010
Groningen;Een keer per maand;2;2010
Groningen;Minder dan een keer per maand;5;2010
Groningen;Zelden of nooit;77;2010
Groningen;Een keer per week of vaker;11;2015
Groningen;Twee tot drie keer per maand;4;2015
Groningen;Een keer per maand;2;2015
Groningen;Minder dan een keer per maand;2;2015
Groningen;Zelden of nooit;81;2015
Friesland;Een keer per week of vaker;11;2010
Friesland;Twee tot drie keer per maand;5;2010
Friesland;Een keer per maand;4;2010
Friesland;Minder dan een keer per maand;5;2010
Friesland;Zelden of nooit;75;2010
Friesland;Een keer per week of vaker;11;2015
Friesland;Twee tot drie keer per maand;6;2015
Friesland;Een keer per maand;3;2015
Friesland;Minder dan een keer per maand;5;2015
Friesland;Zelden of nooit;76;2015
Drenthe;Een keer per week of vaker;9;2010
Drenthe;Twee tot drie keer per maand;5;2010
Drenthe;Een keer per maand;4;2010
Drenthe;Minder dan een keer per maand;5;2010
Drenthe;Zelden of nooit;77;2010
Drenthe;Een keer per week of vaker;8;2015
Drenthe;Twee tot drie keer per maand;4;2015
Drenthe;Een keer per maand;3;2015
Drenthe;Minder dan een keer per maand;4;2015
Drenthe;Zelden of nooit;82;2015
Overijssel;Een keer per week of vaker;13;2010
Overijssel;Twee tot drie keer per maand;6;2010
Overijssel;Een keer per maand;5;2010
Overijssel;Minder dan een keer per maand;8;2010
Overijssel;Zelden of nooit;68;2010
Overijssel;Een keer per week of vaker;14;2015
Overijssel;Twee tot drie keer per maand;5;2015
Overijssel;Een keer per maand;4;2015
Overijssel;Minder dan een keer per maand;7;2015
Overijssel;Zelden of nooit;70;2015
Flevoland;Een keer per week of vaker;15;2010
Flevoland;Twee tot drie keer per maand;3;2010
Flevoland;Een keer per maand;3;2010
Flevoland;Minder dan een keer per maand;4;2010
Flevoland;Zelden of nooit;75;2010
Flevoland;Een keer per week of vaker;14;2015
Flevoland;Twee tot drie keer per maand;4;2015
Flevoland;Een keer per maand;3;2015
Flevoland;Minder dan een keer per maand;4;2015
Flevoland;Zelden of nooit;76;2015
Gelderland;Een keer per week of vaker;12;2010
Gelderland;Twee tot drie keer per maand;5;2010
Gelderland;Een keer per maand;4;2010
Gelderland;Minder dan een keer per maand;8;2010
Gelderland;Zelden of nooit;72;2010
Gelderland;Een keer per week of vaker;13;2015
Gelderland;Twee tot drie keer per maand;4;2015
Gelderland;Een keer per maand;3;2015
Gelderland;Minder dan een keer per maand;6;2015
Gelderland;Zelden of nooit;74;2015
Utrecht;Een keer per week of vaker;12;2010
Utrecht;Twee tot drie keer per maand;4;2010
Utrecht;Een keer per maand;3;2010
Utrecht;Minder dan een keer per maand;7;2010
Utrecht;Zelden of nooit;74;2010
Utrecht;Een keer per week of vaker;13;2015
Utrecht;Twee tot drie keer per maand;4;2015
Utrecht;Een keer per maand;3;2015
Utrecht;Minder dan een keer per maand;5;2015
Utrecht;Zelden of nooit;76;2015
Noord-Holland;Een keer per week of vaker;6;2010
Noord-Holland;Twee tot drie keer per maand;3;2010
Noord-Holland;Een keer per maand;3;2010
Noord-Holland;Minder dan een keer per maand;5;2010
Noord-Holland;Zelden of nooit;83;2010
Noord-Holland;Een keer per week of vaker;6;2015
Noord-Holland;Twee tot drie keer per maand;3;2015
Noord-Holland;Een keer per maand;3;2015
Noord-Holland;Minder dan een keer per maand;5;2015
Noord-Holland;Zelden of nooit;84;2015
Zuid-Holland;Een keer per week of vaker;13;2010
Zuid-Holland;Twee tot drie keer per maand;4;2010
Zuid-Holland;Een keer per maand;4;2010
Zuid-Holland;Minder dan een keer per maand;6;2010
Zuid-Holland;Zelden of nooit;74;2010
Zuid-Holland;Een keer per week of vaker;12;2015
Zuid-Holland;Twee tot drie keer per maand;4;2015
Zuid-Holland;Een keer per maand;3;2015
Zuid-Holland;Minder dan een keer per maand;6;2015
Zuid-Holland;Zelden of nooit;76;2015
Zeeland;Een keer per week of vaker;16;2010
Zeeland;Twee tot drie keer per maand;5;2010
Zeeland;Een keer per maand;3;2010
Zeeland;Minder dan een keer per maand;7;2010
Zeeland;Zelden of nooit;69;2010
Zeeland;Een keer per week of vaker;21;2015
Zeeland;Twee tot drie keer per maand;2;2015
Zeeland;Een keer per maand;3;2015
Zeeland;Minder dan een keer per maand;4;2015
Zeeland;Zelden of nooit;70;2015
Noord-Brabant;Een keer per week of vaker;6;2010
Noord-Brabant;Twee tot drie keer per maand;3;2010
Noord-Brabant;Een keer per maand;4;2010
Noord-Brabant;Minder dan een keer per maand;13;2010
Noord-Brabant;Zelden of nooit;73;2010
Noord-Brabant;Een keer per week of vaker;6;2015
Noord-Brabant;Twee tot drie keer per maand;3;2015
Noord-Brabant;Een keer per maand;4;2015
Noord-Brabant;Minder dan een keer per maand;10;2015
Noord-Brabant;Zelden of nooit;79;2015
Limburg;Een keer per week of vaker;7;2010
Limburg;Twee tot drie keer per maand;4;2010
Limburg;Een keer per maand;7;2010
Limburg;Minder dan een keer per maand;17;2010
Limburg;Zelden of nooit;65;2010
Limburg;Een keer per week of vaker;5;2015
Limburg;Twee tot drie keer per maand;3;2015
Limburg;Een keer per maand;5;2015
Limburg;Minder dan een keer per maand;13;2015
Limburg;Zelden of nooit;74;2015
